ArticleNumber;Size;Quantity
53177;35;1
53177;36;1
53177;37;1
53177;38;1
53177;40;1
53177;41;1
53177;42;1
31337;37;1
31337;38;1
31337;41;1
42281;35;1
42281;36;1
710049;39;1
710049;40;1
17414;38;1
17414;39;1
17414;40;1
17414;41;1
25616;40;1
28259;37;1
28259;38;1
28259;39;1
37518;35;1
37518;36;1
37518;37;1
37518;40;1
37518;41;1
37518;42;1
89286;35;1
89286;36;1
89286;38;1
89286;39;1
9298;36;1
9298;38;1
24423;35;1
24423;36;1
24423;37;1
24423;38;1
24423;39;1
24423;40;1
24423;41;1
12676;37;1
12676;38;1
12676;39;1
54030;37;1
54030;38;1
54030;39;1
54030;40;1
54030;41;1
54030;36;1
224958;36;1
5778;35;1
5778;38;1
5778;39;1
568142;37;1
568142;38;1
568142;39;1
568142;40;1
568142;41;1
305010;38;1
305010;39;1
305010;40;1
305010;41;1
393016;36;1
393016;37;1
393016;38;1
393016;39;1
393016;40;1
393016;41;1
828390;36;1
828390;37;1
828390;38;1
828390;39;1
828390;40;1
828390;41;1
49707;38;1
49707;39;1
49707;40;1
12995;;1
21190;40;1
51165;38;1
84423;43;1
147898;38;1
238597;40;1
333363;36;1
36886;43;1
496794;36;1
59537;42;1
677641;;1
69415;36;1
69415;42;1
70646;36;1
232546;36;1
26727;36;1
26727;42;1
30136;38;1
34313;35;1
55629;36;1
558284;;1
68302;40;1
115341;36;1
16530;40;1
410737;37;1
410737;38;1
410737;39;1
410737;40;1
410737;41;1
632367;42;1
632367;36;1
632367;37;1
632367;38;1
632367;39;1
632367;40;1
632367;41;1
41146;42;1
93217;41;1
10092;35;1
10092;36;1
10092;37;1
10092;38;1
10092;39;1
10092;40;1
10092;41;1
276519;39;1
276519;40;1
632359;36;1
632359;37;1
632359;38;1
632359;39;1
130580;41;1
35349;37;1
35349;38;1
35349;40;1
834984;36;1
834984;39;1
834984;40;1
834984;41;1
834984;42;1
234903;35;1
234903;36;1
234903;38;1
234903;39;1
234903;40;1
234903;41;1
25611;35;1
25611;36;1
25611;37;1
25611;38;1
25611;39;1
25611;40;1
25611;41;1
267214;36;1
45706;37;1
45706;38;1
45706;39;1
45706;40;1
45706;41;1
45706;42;1
476185;36;1
476185;37;1
476185;38;1
476185;39;1
476185;40;1
57398;37;1
57398;38;1
57398;39;1
57398;40;1
57398;42;1
70964;36;1
70964;37;1
70964;39;1
70964;40;1
70964;42;1
92985;35;1
92985;36;1
92985;37;1
92985;38;1
92985;39;1
92985;40;1
92985;41;1
22620;37;1
22620;38;1
22620;39;1
22620;40;1
22620;41;1
22620;36;1
56307;35;1
56307;36;1
56307;37;1
56307;38;1
56307;39;1
56307;40;1
56307;41;1
75180;35;1
75180;36;1
75180;37;1
75180;38;1
75180;39;1
75180;40;1
75180;41;1
28907;35;1
28907;36;1
28907;38;1
28907;39;1
28907;40;1
28907;41;1
28907;42;1
10754;38;1
10754;39;1
12582;41;1
12582;42;1
12582;35;1
12582;36;1
12582;40;1
16786;35;1
16786;36;1
16786;37;1
16786;38;1
16786;39;1
16786;40;1
16786;41;1
255756;39;1
255756;40;1
271995;37;1
271995;40;1
27717;38;1
27717;39;1
27717;41;1
28542;35;1
28542;37;1
28542;39;1
38151;40;1
38151;41;1
38151;42;1
38151;43;1
51107;36;1
51107;40;1
53623;37;1
53623;40;1
61788;35;1
61788;36;1
66286;36;1
66286;37;1
66286;39;1
66286;40;1
66286;41;1
66949;39;1
66949;40;1
66949;41;1
66949;42;1
816552;36;1
816552;38;1
816552;39;1
816552;40;1
840949;41;1
840949;42;1
892379;40;1
892379;41;1
788089;188;1
476841;176/182;1
592877;176/182;1
445558;164/170;1
559130;128/134;1
559130;140/146;1
559130;152/;1
559387;128/134;1
559387;140/146;1
559387;152/;1
720405;164/170;1
152537;140/146;1
152537;152/158;1
152537;176/;1
309116;140/146;1
309116;152/158;1
419594;164;1
419594;170;1
163119;152/158;1
521753;92/98;1
521753;176/182;1
892335;92/98;1
892335;104/110;1
892335;164/17;1
445953;152/158;1
445953;164/170;1
445953;176/;1
451530;152/158;1
451530;164/170;1
451530;176/;1
721264;80/86;1
786821;164/170;1
786821;176/182;1
786821;188;1
409201;140/146;1
409201;152/158;1
450168;176/182;1
629478;128/134;1
629478;164/170;1
629478;176/;1
409095;152/158;1
445461;176/182;1
450057;164/170;1
450057;176/182;1
536381;1;1
554511;45/46;1
671036;35/36;1
841599;35/36;1
741988;;1
746456;170;1
746456;176;1
849187;;1
718331;158;1
718331;164;1
718331;170;1
718331;176;1
718331;182;1
872493;152;1
872493;158;1
872493;164;1
872493;182;1
303075;38;1
742079;134;1
742079;140;1
742079;146;1
742079;152;1
742079;;1
742079;128;1
872485;92;1
872485;98;1
872485;104;1
872485;110;1
872485;116;1
872485;12;1
841628;35/36;1
841628;37/38;1
841628;39/40;1
841628;41;1
413317;164;1
413317;170;1
413317;176;1
413317;182;1
872492;128;1
872492;134;1
872492;140;1
872492;146;1
872492;152;1
872492;;1
464282;39/40;1
464282;45/46;1
539139;92/98;1
746533;92;1
350628;152;1
350628;158;1
350628;164;1
350628;170;1
350628;182;1
841741;35/36;1
841741;37/38;1
843801;35/36;1
843801;37/38;1
843801;39/40;1
843814;35/36;1
843814;37/38;1
843814;39/40;1
339711;128/134;1
787133;176/182;1
787133;188;1
560959;110;1
560959;116;1
560959;122;1
566848;104;1
566848;116;1
566848;122;1
843979;35/36;1
843979;37/38;1
554481;35/36;1
554481;37/38;1
401639;35/36;1
401639;37/38;1
110216;152/158;1
433488;35/36;1
841224;35/36;1
793710;35/36;1
793710;37/38;1
793714;35/36;1
793714;37/38;1
464190;39/40;1
691272;188;1
846374;35/36;1
809370;92;1
888030;158;1
888030;170;1
888030;176;1
815930;92;1
815930;98;1
815930;104;1
815930;110;1
875030;92;1
875030;98;1
689102;140;1
809556;170;1
743824;Stuck;1
550160;2;1
655010;3;1
450242;3;1
880024;6;1
879932;4;1
879932;5;1
879932;6;1
879932;7;1
879932;9;1
880029;4;1
880029;5;1
880029;6;1
879943;4;1
880099;4;1
504391;4;1
444204;;1
586678;L;1
801871;XS;1
801871;S;1
533132;XS;1
533132;S;1
533132;M;1
533132;L;1
533132;XL;1
533132;XXL;1
533132;FIVE;1
444139;XS;1
444139;S;1
584241;XS;1
429497;XS;1
429497;S;1
673872;XS;1
662302;M;1
662302;L;1
662302;XL;1
662302;XXL;1
662302;XXXL;1
662302;S;1
801609;XS;1
801609;S;1
537862;M;1
670060;XS;1
242396;XXL;1
242396;S;1
242396;M;1
242396;L;1
