Category;SubCategory;ArticleNumber;ArticleName;ArticleDescription;Colour;ArticleURL;ImageURL;OldPrice;NewPrice;Quantity
Для женщин;Футболки и топы;384688;Shirt;Shirt, Corley Collection. In zarten Pastellfarben. Kleiner V-Ausschnitt mit Knopfleiste. Länge ca. 64 cm. Rippenqualität aus 100% Baumwolle.;rose;http://www.corso.de/products/384688~Shirt.html;http://www.corso.de/images/generated/media/816e4d5b8a962ef31e62ef8c66b91cc.jpg;32,19000;6,29000;1
Для женщин;Футболки и топы;404838;Spitzenshirt;Größenangepasste Länge von ca.: 62-70 cm. Aus 33% Polyester, 33% Polyamid, 33% Elasthan.;weiß;http://www.corso.de/products/404838%7C12902K04~Spitzenshirt.html;http://www.corso.de/images/generated/media/573967cb1485aa741df2b65da5a40ad.jpg;51,79000;10,07000;1
Для женщин;Футболки и топы;44455;Druckshirt;Länge ca. 72 cm. Figurbetonte Form. 94% Viskose, 6% Elasthan. Waschbar.;bunt;http://www.corso.de/products/44455%7C12902K01~Druckshirt.html;http://www.corso.de/images/generated/media/19bd13d95c4c24e3ae609d6bde85dd.jpg;86,66000;14,55000;1
Для женщин;Футболки и топы;46321;Stricktop;Softer Feinstrick in ungewöhnlicher Biesenoptik. L ca. 64 cm. Figurbetonte Form. Aus 50% Viskose, 50% Polyacryl. Waschbar.;mauve;http://www.corso.de/products/46321~Stricktop.html;http://www.corso.de/images/generated/media/96b72d369a30f4c86b63af195eae87d.jpg;44,66000;8,53000;1
Для женщин;Футболки и топы;425392;Shirt;Mit leicht transparentem, besticktem Netzvorderteil. Weiter Schnitt, tiefer Rundhalsausschnitt. Weich fließende Jerseyqualität. Produkttyp: Shirt. Passform: Figurbetont. Verschlussart: Keine (nicht am Frontend anzeigen). Pflegehinweise: Maschinenwäsche. Materialzusammensetzung: Obermaterial: 100% Baumwolle. Obermaterial 2: 95% Viskose, 5% Elasthan.;offwhite;http://www.corso.de/products/425392~Shirt.html;http://www.corso.de/images/generated/media/6b7fe55ea7ad2afacd697889a81674.jpg;58,79000;10,63000;1
Для женщин;Футболки и топы;501187;Top;Mit angesetztem Schößchen und femininem Rundhalsausschnitt. Weich fließende, elastische Jerseyqualität. Produkttyp: Top. Passform: Sehr figurbetont. Pflegehinweise: Maschinenwäsche. Materialzusammensetzung: Obermaterial: 95% Viskose, 5% Elasthan.;hummer;http://www.corso.de/products/501187~Top.html;http://www.corso.de/images/generated/media/9332424d8f79e9d135ea0829b5f399b.jpg;39,19000;7,83000;1
Для женщин;Футболки и топы;612893;Shirt;Größenangepasste Länge von ca. 70 bis 78 cm. 95% Viskose, 5% Elasthan.;orange;http://www.corso.de/products/612893~Shirt.html;http://www.corso.de/images/generated/media/ce2fcf688436089c1515edee9f71.jpg;51,79000;10,07000;1
Для женщин;Футболки и топы;672307;2er Bandeaus;Mit Gummizug in der Taille und Metalllogo am Saum. Aus elastischem Jersey. Produkttyp: Bandeautop. Passform: Figurbetont. Träger: Ohne Träger. Saum: Umschlag. Kragen: Ohne. Bündchen: Ohne. Ausschnitt: Bandeau. Stil: Casual. Optik: Uni. Auslieferung: Liegend. Pflegehinweise: Maschinenwäsche. Farbe: Grau, Schwarz. Material: Jersey. Cotton made in Africa: Mit dem Kauf unterstützen Sie den nachhaltigen Baumwollanbau. Besondere Merkmale: Immer im Doppelpack. Gesamtlänge: 30. Materialzusammensetzung: Obermaterial: 95% Baumwolle, 5% Elasthan.;grau+schwarz;http://www.corso.de/products/672307~DP-Nierenwaermer.html;http://www.corso.de/images/generated/media/d9db69ef2f1ca322a154c0c5427168ed.jpg;27,99000;5,87000;1
Для женщин;Футболки и топы;851275;Volantshirt Glitze;Schwingendes Vokuhila-Shirt mit Glitzeroptik von ANDRÉ BORCHERS FOR AJC. Sitzt oben mit tiefem Rundhalsausschnitt und kurzen Ärmeln auf Figur, nach unten ausgestellt mit längerem Saum am Rückenteil. Leicht transparentes Material, Elasthananteil sorgt für figurbetonenden Sitz. Produkttyp: Longshirt. Passform: Figurbetont. Kragen: Ohne. Bündchen: Keine. Ausschnitt: Rundhals. Ärmelstil: Kurzarm. Stil: Feminin. Optik: Melange. Auslieferung: Liegend. Pflegehinweise: Maschinenwäsche. Material: Kunstfaser. Gesamtlänge: 64, 90. Materialzusammensetzung: Obermaterial: 49% metallisierte Fasern, 30% Polyester, 18% Viskose, 3% Elasthan.;silber glitz;http://www.corso.de/products/851275~Volantshirt-Glitze.html;http://www.corso.de/images/generated/media/a979173e36fc3649b678fe7ee3f99273.jpg;51,79000;10,07000;1
Для женщин;Футболки и топы;119410;Drucktop;Patchwork-Optik. Ausschnitt mit eingelegten Falten. Länge ca. 60 cm. 95% Viskose, 5% Elasthan. Waschbar.;bunt;http://www.corso.de/products/119410%7C13002K01~Drucktop.html;http://www.corso.de/images/generated/media/84bde24a5b386292ca7ebace96325747.jpg;58,66000;17,49000;1
Для женщин;Футболки и топы;460049;Shirt;Shirt, Corley Collection. Mit aktuellen Streifen in frischen Farben. Rundhalsausschnitt, gerade geschnitten. Länge ca. 64 cm. 100% Baumwolle.;gestreift;http://www.corso.de/products/460049~Shirt.html;http://www.corso.de/images/generated/media/15665a1c5157af28384c23537cf99.jpg;48,99000;10,63000;1
Для женщин;Футболки и топы;59441;Drucktop;Länge ca. 70 cm. Figurbetonte Form. Druck: 100% Polyester. Uni: 65% Polyester, 35% Baumwolle. Futter: 100% Polyester. Waschbar.;bunt;http://www.corso.de/products/59441%7C12902K01~Drucktop.html;http://www.corso.de/images/generated/media/30e4aa1bf7bbadc45b8a604c3b19a7.jpg;86,66000;19,59000;1
Для женщин;Футболки и топы;664227;Oversizeshirt Stre;Wasserfallausschnitt, weich fließende Linie. Ärmellos, hinten mit versetztem Blockstreifenmuster. Legerer Schnitt aus softem Baumwolljersey. Produkttyp: Shirt. Passform: Oversized. Pflegehinweise: Maschinenwäsche. Materialzusammensetzung: Obermaterial: 100% Baumwolle.;blau gestrei;http://www.corso.de/products/664227~Oversizeshirt-Stre.html;http://www.corso.de/images/generated/media/854a8d7a5c7fc68febbce8510bf31.jpg;51,79000;11,19000;1
Для женщин;Футболки и топы;9601;Wickelshirt;Edler Glanz. Perfekter Sitz durch Elasthan. Figurbetonte Form. Femininer Style für viele Anlässe.;grau;http://www.corso.de/products/9601~Wickelshirt.html;http://www.corso.de/images/generated/media/e9c05474d8a1b71875da64358e83de8.jpg;72,66000;18,19000;1
Для женщин;Футболки и топы;543756;Zipfelshirt;Mit Raffung am ¾ -Ärmel. Größenangepasste Länge von ca. 66 bis 74 cm. 100% Viskose.;mint;http://www.corso.de/products/543756~Zipfelshirt.html;http://www.corso.de/images/generated/media/b7dc23801c3649415e3323839b6e329.jpg;44,79000;11,19000;1
Для женщин;Футболки и топы;503296;T-Shirt Schmetterl;Produkttyp: T-Shirt. Passform: Figurbetont. Pflegehinweise: Maschinenwäsche. Materialzusammensetzung: Obermaterial: 100% Baumwolle.;weiß;http://www.corso.de/products/503296~T-Shirt-Schmetterl.html;http://www.corso.de/images/generated/media/45b5ffd6e4baec28451998937da6f4.jpg;34,99000;7,97000;1
Для женщин;Футболки и топы;713499;Shirtjacke;Aufgesetzte Beuteltaschen mit dekorativem Schleifendetail. V-Ausschnitt. Mit einem Knopf zu schließen. Abgerundeter Saum. Im Rücken gerafft. Leichte Jerseyqualität. Produkttyp: Shirtjacke. Schnittdetails: Keine. Passform: Figurbetont. Kragen: ohne. Bündchen: keine. Ausschnitt: V-Ausschnitt. Ärmelstil: Langarm. Stil: Casual. Optik: Uni. Verschlussart: Knöpfe. Taschen: Taschen aufgesetzt. Besondere Merkmale: Raffung im Rücken. Auslieferung: Liegend. Pflegehinweise: Maschinenwäsche. Material: Jersey. Cotton made in Africa: Mit dem Kauf unterstützen Sie den nachhaltigen Baumwollanbau. Ärmellänge: 62. Gesamtlänge: 68. Materialzusammensetzung: Obermaterial: 50% Baumwolle, 50% Polyester. Einsatz: 100% Baumwolle.;taupe;http://www.corso.de/products/713499~Shirtjacke.html;http://www.corso.de/images/generated/media/238df98ac44148460c672f485fef43f.jpg;37,79000;8,39000;1
Для женщин;Футболки и топы;841750;Top;Material: 95% Viskose, 5% Elasthan.;gelb;http://www.corso.de/products/841750~Top.html;http://www.corso.de/images/generated/media/a94d6ffb91782ffca48837aaa1ea23df.jpg;43,39000;9,23000;1
Для женщин;Футболки и топы;18616;Shirttop;Moderne, figurnahe Form. Herrlich weiche, feine Jerseyqualität. L ca. 60 cm. 100% Polyester. Waschbar.;marine;http://www.corso.de/products/18616%7C12902K01~Shirttop.html;http://www.corso.de/images/generated/media/4b26b1ce32516e959d63c727bfefe5f1.jpg;44,66000;9,23000;1
Для женщин;Футболки и топы;188347;Spaghettitop;Das supersofte und vielseitige Jerseytop ist brillant im lässigen Lagen-Look tragbar oder perfekt zu unseren tollen Röcken kombinierbar. Druck: 100% Baumwolle. Jersey: 100% Viskose.;blau;http://www.corso.de/products/188347~Spaghettitop.html;http://www.corso.de/images/generated/media/211b2b159d6b28adf77c1ce61d0bb0.jpg;30,80000;6,01000;1
Для женщин;Футболки и топы;23773;Shirttop;Mit dekorativen Faltendetails. Ein Power-Mesh-Einsatz formt Taille, Hüfte und Bauch. Länge ca. 64 cm. 95% Polyester, 5% Elasthan. Miedereinsatz: 83% Polyamid, 17% Elasthan. Waschbar.;rot;http://www.corso.de/products/23773~Shirttop.html;http://www.corso.de/images/generated/media/bc5b4540a06ef1a088bf4910d2a487b4.jpg;58,66000;8,81000;1
Для женщин;Футболки и топы;259737;Shirt m.Webpasse;Webpasse aus glänzendem Satin. Rundhalsausschnitt und angeschnittene kurze Ärmel. Mit kleinen Seitenschlitzen am Saum. Aus weich fallender Jerseyqualität. Produkttyp: Shirt. Passform: Lässig geschnitten. Pflegehinweise: Maschinenwäsche. Materialzusammensetzung: Schwarz, Rosa: Obermaterial: 100% Viskose. Bluseneinsatz: 100% Polyester. Weiß, Limone, türkis, Apricot, Jeansblau: Obermaterial: 100% Viskose. Obermaterial 2: 100% Polyester.;apricot;http://www.corso.de/products/259737~Shirt-m-Webpasse.html;http://www.corso.de/images/generated/media/1083bab17796989d2f762cc2fa534e.jpg;27,99000;5,45000;1
Для женщин;Футболки и топы;3482;Shirt;L ca. 68 cm. Figurbetonte Form. 93% Viskose, 7% Elasthan. Waschbar.;tomatenrot;http://www.corso.de/products/3482~Shirt.html;http://www.corso.de/images/generated/media/c272d2bda5b9656c46db389621276996.jpg;58,66000;8,67000;1
Для женщин;Футболки и топы;366681;Shirt;Shirt, Vivance Collection. Setzt Sie modisch in Szene. In Crashoptik, mit applizierter Spitze und Biesen, gerüschtem Saum. Länge ca.76 cm. 50% Baumwolle, 50% Polyester.;curry;http://www.corso.de/products/366681~Shirt.html;http://www.corso.de/images/generated/media/78c14c8851b3a8933f7275d5d80fe0.jpg;48,99000;8,25000;1
Для женщин;Футболки и топы;367107;Shirt;Shirt, Corley Collection. Verleiht Ihnen das gewisse Etwsas. In aktueller kastiger Form, Raglanärmel mit Umschlag, Rundhalsausschnitt mit dekorativer Steinchenverzierung. Hinten etwas länger geschnitten. Länge ca. 68 cm. Figurumspielende Form. 100% Baumwolle.;weiß;http://www.corso.de/products/367107~Shirt.html;http://www.corso.de/images/generated/media/c69c57370ce3254c77cd452c824fb7.jpg;39,19000;6,85000;1
Для женщин;Футболки и топы;37805;T-Shirt;Effektvoller Druck und Nieten-Applikationen. Tiefer Rundhalsausschnitt. Leicht transparent. Länge ca. 64 cm. Figurumspielende Form. 50% Polyester, 50% Viskose. Waschbar.;ecru;http://www.corso.de/products/37805~T-Shirt.html;http://www.corso.de/images/generated/media/f75591b368da881bdf6f5da5836b7a.jpg;58,66000;10,35000;1
Для женщин;Футболки и топы;391637;Shirt Brosche;Shirt von MELROSE. Mit abnehmbarer Brosche und Raffung im Brustbereich. Leicht ausgestellte Form. Fließend weicher Viskose-Stretch. Produkttyp: Longsleeve. Passform: Sehr figurbetont. Pflegehinweise: Maschinenwäsche. Materialzusammensetzung: Obermaterial: 95% Viskose, 5% Elasthan.;flaschengrün;http://www.corso.de/products/391637~Shirt-Brosche.html;http://www.corso.de/images/generated/media/3dbdc59e93bfa1275b554b75f423c2d.jpg;43,39000;7,55000;1
Для женщин;Футболки и топы;4302;Shirt 2 in 1;Tailliertes Basic, Rundhalsausschnitt vorne und geradem Ausschnitt hinten. Länge ca. 56 cm. Figurbetonte Form. 95% Baumwolle, 5% Elasthan. Waschbar.;grün;http://www.corso.de/products/4302%7C12702K01~Shirt-2-in-1.html;http://www.corso.de/images/generated/media/c7c66b27d3465773b8da4ef3ec191ab3.jpg;30,66000;6,71000;1
Для женщин;Футболки и топы;425778;Shirt;Neonshirt von LAURA SCOTT. Aus transparentem Jersey mit Burn-out-Muster. Leicht transparente Ware, lässig geschnittene Silhouette. Mit einem Schaumprint mit 3-D-Effekten und klassischem Rundhalsausschnitt. Produkttyp: T-Shirt. Passform: Figurumspielend. Bündchen: Umschlagsaum. Ausschnitt: Rundhals. Ärmelstil: Kurzarm. Auslieferung: Liegend. Pflegehinweise: Maschinenwäsche. Material: Jersey. Cotton made in Africa: Mit dem Kauf unterstützen Sie den nachhaltigen Baumwollanbau. Optik: Uni. Besondere Merkmale: 3-D Druck. Gesamtlänge: 72. Materialzusammensetzung: Obermaterial: 50% Baumwolle, 50% Polyester.;neonpink;http://www.corso.de/products/425778~Shirt.html;http://www.corso.de/images/generated/media/3e4a7fbccb90e37f6e3b774b7762c5c.jpg;58,79000;11,19000;1
